gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
001855,2022,PHL,1000,67448.802,43810.892,3.64,20.707,3218.086,0.04771153681869694,75.37348,0.0017204278789849793,0.04771153681869694,0.0017204278789849793,0,10
002410,2022,GBR,2911,288120,67553,4.749,207.383,-2487,-0.008631820074968762,984.861867,0.014579098885319674,-0.008631820074968762,0.014579098885319674,1,29
002721,2022,JPN,3577,5095530,3113105,2855.5,396.211,243961,0.04787745337580193,1131380.5105,0.3634251046784481,0.04787745337580193,0.3634251046784481,0,35
004925,2022,JPN,3861,4134311,2763145,6625,133.585,219422,0.05307341416743926,885000.625,0.32028743515088787,0.05307341416743926,0.32028743515088787,0,38
005302,2022,AUS,1040,27.17,10.867,0.017,1.768,-6.92,-0.2546926757453073,0.030056000000000003,0.0027658047299162604,-0.2546926757453073,0.0027658047299162604,1,10
005650,2022,JPN,9997,12501414,4942854,6691,217.678,649124,0.051924046351876675,1456483.498,0.29466447886180736,0.051924046351876675,0.29466447886180736,0,99
005691,2022,JPN,3711,24670067,11184250,3032,194.23,651416,0.02640511677572663,588905.36,0.0526548816415942,0.02640511677572663,0.0526548816415942,0,37
006494,2022,JPN,3531,4875847,2539641,2876,185.504,326398,0.06694180518789863,533509.504,0.2100728032032874,0.06694180518789863,0.2100728032032874,0,35
006506,2022,JPN,3523,4731273,1883321,1817,96.282,156182,0.03301056607809357,174944.394,0.09289143698817143,0.03301056607809357,0.09289143698817143,0,35
006512,2022,JPN,3674,4093928,3023777,6552,48.51,127988,0.03126288493593439,317837.51999999996,0.10511275137022338,0.03126288493593439,0.10511275137022338,0,36
006972,2022,JPN,3540,1099351,769247,3080,19.871,11705,0.010647190933559892,61202.67999999999,0.0795618052459093,0.010647190933559892,0.0795618052459093,0,35
007041,2022,MYS,5030,706.394,308.752,0.62,2.326,8.724,0.012350048273343205,1.44212,0.00467080375187853,0.012350048273343205,0.00467080375187853,1,50
007114,2022,JPN,3600,8059527,3618402,1110.5,398.554,265502,0.03294262802271151,442594.21699999995,0.12231759130135346,0.03294262802271151,0.12231759130135346,0,36
007471,2022,JPN,5000,15380916,6367750,3853,278.55,1130630,0.07350862588418011,1073253.1500000001,0.168545114051274,0.07350862588418011,0.168545114051274,0,50
007652,2022,JPN,7373,3984050,1623817,4635,130.95,114500,0.028739599151617074,606953.25,0.3737818054620687,0.028739599151617074,0.3737818054620687,0,73
007908,2022,JPN,4813,25308851,8561353,3762,712.18,1213116,0.047932480222037735,2679221.1599999997,0.31294366205902263,0.047932480222037735,0.31294366205902263,0,48
008544,2022,PHL,4812,624162,108727,1317,9.923,10485,0.01679852346025551,13068.591,0.12019637256615193,0.01679852346025551,0.12019637256615193,0,48
009135,2022,JPN,3577,2149956,931556,1007,43.594,54367,0.025287494255696395,43899.158,0.047124550751645636,0.025287494255696395,0.047124550751645636,0,35
009818,2022,JPN,3600,32041222,7229709,10035,395.668,937126,0.029247511221638177,3970528.38,0.5491961543680388,0.029247511221638177,0.5491961543680388,0,36
010275,2022,JPN,3670,3147027,1458446,4335,29.445,114187,0.03628408653627694,127644.075,0.08752060412247008,0.03628408653627694,0.08752060412247008,0,36
010622,2022,JPN,3600,3539268,1247381,4603,185.721,126573,0.03576247969919204,854873.763,0.6853349241330435,0.03576247969919204,0.6853349241330435,0,36
012596,2022,ISR,3480,64.552,50.526,0.841,0.005,8.276,0.12820671706531167,0.0042049999999999995,8.322447848632386e-5,0.12820671706531167,8.322447848632386e-5,0,34
012616,2022,JPN,2340,285296,209834,2372,16.792,-1776,-0.006225113566261006,39830.624,0.18981968603753444,-0.006225113566261006,0.18981968603753444,0,23
012756,2022,GBR,2086,29313,7447,51.45,0.205,1508,0.051444751475454575,10.54725,0.0014163085806364979,0.051444751475454575,0.0014163085806364979,1,20
013498,2022,PAN,4400,51703,7065,7.493,2.956,-6093,-0.11784615979730383,22.149308,0.003135075442321302,-0.11784615979730383,0.003135075442321302,0,44
014242,2022,AUS,3842,2506.2,1542.9,28.24,46.758,158.7,0.0633229590615274,1320.4459200000001,0.8558208049776396,0.0633229590615274,0.8558208049776396,1,38
014894,2022,GBR,4812,155521,63399,0.8424,1.137,11838,0.07611833771644987,0.9578088,1.5107632612501774e-5,0.07611833771644987,7.351888091412304e-5,1,48
251432,2022,JPN,3714,7995,5806,834,0.94,561,0.0701688555347092,783.9599999999999,0.13502583534274887,0.0701688555347092,0.13502583534274887,0,37
016560,2022,AUS,3330,1662.7,1549.4,1.52,55.601,104,0.06254886630179828,84.51352,0.05454596618045695,0.06254886630179828,0.05454596618045695,1,33
017417,2022,MYS,5099,15891.5,3909.9,0.625,10.698,99.2,0.006242330805776674,6.68625,0.0017100820992864269,0.006242330805776674,0.0017100820992864269,1,50
017436,2022,DEU,2800,84472,39573,46.39,900,-627,-0.007422577895634056,41751,1.0550375255856266,-0.007422577895634056,1.0550375255856266,0,28
017544,2022,AUS,3272,2231.1,1167.1,4.71,50.534,218.5,0.09793375465017257,238.01514,0.20393722902921774,0.09793375465017257,0.20393722902921774,1,32
017703,2022,JPN,3570,335224,221600,1343,38.902,13079,0.039015702932964226,52245.386,0.2357643772563177,0.039015702932964226,0.2357643772563177,0,35
017827,2022,JPN,2750,1830384,1087504,2650,23.43,85692,0.04681640573781239,62089.5,0.057093583104062144,0.04681640573781239,0.057093583104062144,0,27
017830,2022,JPN,1520,6142067,2284213,3039,63.763,308399,0.050210946901100235,193775.75699999998,0.08483261280799995,0.050210946901100235,0.08483261280799995,0,15
018466,2022,JPN,3711,3944150,2100973,2027.5,129.624,200431,0.05081728636081285,262812.66,0.12509092691814697,0.05081728636081285,0.12509092691814697,0,37
018467,2022,JPN,7373,3265579,1586835,17615,75.228,215182,0.06589398082239015,1325141.22,0.8350844416716293,0.06589398082239015,0.8350844416716293,0,73
018472,2022,SGP,3730,112.994,63.485,0.32,1.562,4.014,0.03552401012443139,0.49984,0.007873355910845082,0.03552401012443139,0.007873355910845082,1,37
018709,2022,JPN,1600,2769718,1052432,1536,51.57,111789,0.040361148680118336,79211.52,0.07526521428462837,0.040361148680118336,0.07526521428462837,0,16
018715,2022,JPN,2840,1726350,972061,5255,133.825,86038,0.04983809772062444,703250.3749999999,0.7234632137283564,0.04983809772062444,0.7234632137283564,0,28
018729,2022,JPN,2082,2542263,980022,2011,317.58,111007,0.04366464051909657,638653.38,0.6516724930664822,0.04366464051909657,0.6516724930664822,0,20
018753,2022,MYS,2070,30238.525,14287.042,22.36,6.538,2166.29,0.07164006842264958,146.18968,0.010232326607565094,0.07164006842264958,0.010232326607565094,1,20
018754,2022,JPN,1600,376650,169861,2631,20.078,7973,0.021168193282888624,52825.218,0.3109908572303236,0.021168193282888624,0.3109908572303236,0,16
018931,2022,JPN,3711,3046777,1308508,1547,54.145,151743,0.04980443268411177,83762.315,0.06401360557214782,0.04980443268411177,0.06401360557214782,0,37
