"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",1004,2023,"AAR CORP",5080,2770,1189.8,46.3,35.694,70.99,0.0167148014440433,2533.91706,2.1297,0.0167148014440433,2.1297
"A","USD","STD","INDL","C",1050,2023,"CECO ENVIRONMENTAL CORP",3564,600.291,232.643,12.911,34.835,20.28,0.0215079020008629,706.4538,3.03664326887119,0.0215079020008629,3.03664326887119
"A","USD","STD","INDL","C",1075,2023,"PINNACLE WEST CAPITAL CORP",4911,24661.153,6177.664,501.557,113.425,71.84,0.0203379379707023,8148.452,1.31901832148851,0.0203379379707023,1.31901832148851
"A","USD","STD","INDL","C",1078,2023,"ABBOTT LABORATORIES",3845,73214,38603,5723,1734.076,110.07,0.0781681099243314,190869.74532,4.94442777297101,0.0781681099243314,4.94442777297101
"A","USD","STD","INDL","C",1104,2023,"ACME UNITED CORP",3842,149.241,97.898,17.793,3.645,42.86,0.119223269744909,156.2247,1.5957905166602,0.119223269744909,1.5957905166602
"A","USD","STD","INDL","C",1117,2023,"BK TECHNOLOGIES CORP",3663,49.408,21.311,-2.23,3.577,12.2293,-0.0451343911917098,43.7442061,2.05265853784431,-0.0451343911917098,2.05265853784431
"I","USD","STD","INDL","C",1121,2023,"ADAMS RESOURCES & ENERGY INC",5172,361.334,92.716,0.212,2.547,26.18,0.000586714784659069,66.68046,0.719190430993572,0.000586714784659069,0.719190430993572
"A","USD","STD","INDL","C",1161,2023,"ADVANCED MICRO DEVICES",3674,67885,55892,854,1616,147.41,0.0125800986963247,238214.56,4.2620510985472,0.0125800986963247,4.2620510985472
"A","USD","STD","INDL","C",1166,2023,"ASM INTERNATIONAL NV",3559,4671.993,3566.741,831.3,49.202,519.133,0.177932629607964,25542.381866,7.16126622762909,0.177932629607964,7.16126622762909
"A","USD","STD","INDL","C",1186,2023,"AGNICO EAGLE MINES LTD",1040,28684.949,19422.915,1941.307,497.299,54.85,0.0676768503231433,27276.85015,1.40436438866154,0.0676768503231433,1.40436438866154
"A","USD","STD","INDL","C",1209,2023,"AIR PRODUCTS & CHEMICALS INC",2810,32002.5,14312.9,2300.2,222.2,283.4,0.0718756347160378,62971.48,4.39963110201287,0.0718756347160378,4.39963110201287
"A","USD","STD","INDL","C",1210,2023,"AIR T INC",4513,177.167,4.77,-6.819,2.775,22.2,-0.0384891091456084,61.605,12.9150943396226,-0.0384891091456084,12.9150943396226
"A","USD","STD","INDL","C",1230,2023,"ALASKA AIR GROUP INC",4512,14613,4113,235,126.09,39.07,0.0160815712037227,4926.3363,1.197747702407,0.0160815712037227,1.197747702407
"I","USD","STD","INDL","C",1234,2023,"ATRION CORP",3841,260.825,242.889,19.411,1.76,378.79,0.0744215470142816,666.6704,2.74475336470569,0.0744215470142816,2.74475336470569
