costat,curcd,datafmt,indfmt,consol,gvkey,fyear,conm,sic,at,seq,ni,csho,prcc_f
A,USD,STD,INDL,C,001004,2023,AAR CORP,5080,2770.0000,1189.8000,46.3000,35.6940,70.990000000000
A,USD,STD,INDL,C,174937,2023,INVS CURRSHS AUSTRALIAN DOLL,6722,,,,1.1500,67.517100000000
A,USD,STD,INDL,C,175207,2023,INVESCO S&P SMALLCAP MOM ETF,6722,,,,7.0600,57.648700000000
A,USD,STD,INDL,C,001045,2023,AMERICAN AIRLINES GROUP INC,4512,63058.0000,-5202.0000,822.0000,654.2730,13.740000000000
A,USD,STD,INDL,C,175208,2023,INVESCO S&P MIDCAP VALUE ETF,6722,,,,4.1900,50.860000000000
A,USD,STD,INDL,C,001050,2023,CECO ENVIRONMENTAL CORP,3564,600.2910,232.6430,12.9110,34.8350,20.280000000000
A,USD,STD,INDL,C,175209,2023,ISHARES US INSURANCE ETF,6722,,,,5.5500,111.640000000000
A,USD,STD,INDL,C,001062,2023,ASA GOLD AND PRECIOUS METALS,6799,335.6190,334.9120,9.7260,19.2900,15.310000000000
A,USD,STD,INDL,C,001075,2023,PINNACLE WEST CAPITAL CORP,4911,24661.1530,6177.6640,501.5570,113.4250,71.840000000000
A,USD,STD,INDL,C,175210,2023,ISHARES US BROKER-DEALERS,6722,,,,9.4500,111.370000000000
A,USD,STD,INDL,C,001076,2023,PROG HOLDINGS INC,6141,1491.2550,591.3310,138.8380,43.6740,30.910000000000
A,USD,STD,INDL,C,001078,2023,ABBOTT LABORATORIES,3845,73214.0000,38603.0000,5723.0000,1734.0760,110.070000000000
A,USD,STD,INDL,C,175211,2023,ISHARES US MEDICAL DEVICES,6722,,,,95.2500,55.010000000000
A,USD,STD,INDL,C,001084,2023,WORLDS INC,7370,0.2650,-3.1420,0.0820,57.1130,0.004300000000
A,USD,STD,INDL,C,175212,2023,ISHARES US HEALTHCARE PRVDRS,6722,,,,15.3500,51.840000000000
A,USD,STD,INDL,C,001097,2023,ACMAT CORP  -CL A,6351,52.1240,28.8480,0.5100,0.7710,33.500000000000
A,USD,STD,INDL,C,175213,2023,ISHARES US PHARMACEUTICALS,6722,,,,10.1500,64.060000000000
A,USD,STD,INDL,C,001104,2023,ACME UNITED CORP,3842,149.2410,97.8980,17.7930,3.6450,42.860000000000
A,USD,STD,INDL,C,175215,2023,ISHARES US OIL EQUIP & SVCS,6722,,,,12.1500,22.170000000000
A,USD,STD,INDL,C,001117,2023,BK TECHNOLOGIES CORP,3663,49.4080,21.3110,-2.2300,3.5770,12.229300000000
A,USD,STD,INDL,C,001119,2023,ADAMS DIVERSIFIED EQUITY FD,6726,,,,120.8100,17.710000000000
I,USD,STD,INDL,C,001121,2023,ADAMS RESOURCES & ENERGY INC,5172,361.3340,92.7160,0.2120,2.5470,26.180000000000
A,USD,STD,INDL,C,175216,2023,ISHARES US O&G EXP&PROD ETF,6722,,,,8.3500,104.340000000000
A,USD,STD,INDL,C,175226,2023,ISHARES S&P GSCI COMDTY INDX,6722,,,,48.2000,20.060000000000
A,USD,STD,INDL,C,001161,2023,ADVANCED MICRO DEVICES,3674,67885.0000,55892.0000,854.0000,1616.0000,147.410000000000
A,USD,STD,INDL,C,001166,2023,ASM INTERNATIONAL NV,3559,4671.9930,3566.7410,831.3000,49.2020,519.133000000000
A,USD,STD,INDL,C,001186,2023,AGNICO EAGLE MINES LTD,1040,28684.9490,19422.9150,1941.3070,497.2990,54.850000000000
A,USD,STD,INDL,C,001209,2023,AIR PRODUCTS & CHEMICALS INC,2810,32002.5000,14312.9000,2300.2000,222.2000,283.400000000000
A,USD,STD,INDL,C,001210,2023,AIR T INC,4513,177.1670,4.7700,-6.8190,2.7750,22.200000000000
A,USD,STD,INDL,C,001224,2023,SPIRE ALABAMA INC,4924,2449.3000,928.0000,66.0000,1.9720,
A,USD,STD,INDL,C,001225,2023,ALABAMA POWER CO,4911,35780.0000,12333.0000,1370.0000,30.5380,
A,USD,STD,INDL,C,001230,2023,ALASKA AIR GROUP INC,4512,14613.0000,4113.0000,235.0000,126.0900,39.070000000000
I,USD,STD,INDL,C,001234,2023,ATRION CORP,3841,260.8250,242.8890,19.4110,1.7600,378.790000000000
A,USD,STD,INDL,C,001254,2023,MATSON INC,4400,4294.6000,2400.7000,297.1000,34.4000,109.600000000000
A,USD,STD,INDL,C,001257,2023,ALEXANDER'S INC,6798,1403.6800,237.6570,102.4130,5.1070,213.570000000000
A,USD,STD,INDL,C,001266,2023,ALICO INC,0100,428.3530,244.9910,1.8350,7.6110,24.960000000000
A,USD,STD,INDL,C,001272,2023,PETRO USA INC,5500,0.0000,-0.1280,-0.0240,200.0310,7.990000000000
A,USD,STD,INDL,C,001300,2023,HONEYWELL INTERNATIONAL INC,9997,61525.0000,15856.0000,5658.0000,651.8000,209.710000000000
A,USD,STD,INDL,C,001327,2023,SKYWORKS SOLUTIONS INC,3674,8426.7000,6082.7000,982.8000,159.5000,98.590000000000
A,USD,STD,INDL,C,001352,2023,ARROW DOW JONES GLBL YLD ETF,6722,,,,1.6500,13.350000000000
I,USD,STD,INDL,C,001380,2023,HESS CORP,1311,24007.0000,8986.0000,1382.0000,307.1580,144.160000000000
A,USD,STD,INDL,C,001388,2023,AMERICAN AIRLINES INC,4512,69074.0000,6577.0000,1188.0000,0.0010,
